Iteration 1: c = ), s = srsts, state = 0
Iteration 633: c = }, s = tsssr, state = 9
Iteration 634: c = x, s = etsre, state = 9
Iteration 635: c = a, s = rettr, state = 9
Iteration 636: c = ), s = tsrtr, state = 9
Iteration 637: c = (, s = rrtts, state = 9
Iteration 638: c = ], s = rertt, state = 9
Iteration 639: c = }, s = srrrr, state = 9
Iteration 640: c = }, s = retrr, state = 9
Iteration 641: c = x, s = tters, state = 9
Iteration 642: c = x, s = sssse, state = 9
Iteration 643: c = x, s = rssee, state = 9
Iteration 644: c = x, s = etset, state = 9
Iteration 645: c = (, s = trrsr, state = 9
Iteration 646: c = }, s = ettst, state = 9
Iteration 647: c = ], s = rsttr, state = 9
Iteration 648: c = {, s = rrtse, state = 9
Iteration 649: c = a, s = rtttr, state = 9
Iteration 650: c = {, s = stsse, state = 9
Iteration 651: c = a, s = sssee, state = 9
Iteration 652: c =  , s = seter, state = 9
Iteration 653: c = {, s = srret, state = 9
Iteration 654: c =  , s = etrrs, state = 9
Iteration 655: c = [, s = trres, state = 9
Iteration 656: c = [, s = rrrse, state = 9
Iteration 657: c = [, s = tttte, state = 9
Iteration 658: c = }, s = strse, state = 9
Iteration 659: c = (, s = rssrt, state = 9
Iteration 660: c = (, s = esest, state = 9
Iteration 661: c =  , s = rtrre, state = 9
Iteration 662: c = x, s = seeer, state = 9
Iteration 663: c =  , s = rssre, state = 9
Iteration 664: c =  , s = teese, state = 9
Iteration 665: c = (, s = ttsre, state = 9
Iteration 666: c = ), s = reeee, state = 9
Iteration 667: c = {, s = ttrrr, state = 9
Iteration 668: c = ], s = tesee, state = 9
Iteration 669: c = a, s = reret, state = 9
Iteration 670: c = }, s = ssers, state = 9
Iteration 671: c = x, s = sttrr, state = 9
Iteration 672: c = (, s = ttrtt, state = 9
Iteration 673: c = a, s = tseet, state = 9
Iteration 674: c = ], s = etree, state = 9
Iteration 675: c = x, s = ttert, state = 9
Iteration 676: c = x, s = ssses, state = 9
Iteration 677: c = }, s = seesr, state = 9
Iteration 678: c = (, s = sttrr, state = 9
Iteration 679: c =  , s = testt, state = 9
Iteration 680: c =  , s = ssstt, state = 9
Iteration 681: c =  , s = seret, state = 9
Iteration 682: c = a, s = tetet, state = 9
Iteration 683: c = }, s = sesee, state = 9
Iteration 684: c = }, s = rrrtt, state = 9
Iteration 685: c = }, s = seeer, state = 9
Iteration 686: c = }, s = ttstr, state = 9
Iteration 687: c = ], s = etsrr, state = 9
Iteration 688: c = ], s = tsser, state = 9
Iteration 689: c = (, s = trrtt, state = 9
Iteration 690: c = {, s = ssert, state = 9
Iteration 691: c =  , s = rsese, state = 9
Iteration 692: c = ], s = tsres, state = 9
Iteration 693: c = (, s = setes, state = 9
Iteration 694: c = {, s = eeree, state = 9
Iteration 695: c = [, s = etett, state = 9
Iteration 696: c = }, s = ersss, state = 9
Iteration 697: c = }, s = tsett, state = 9
Iteration 698: c = a, s = rsrrt, state = 9
Iteration 699: c = ), s = trrte, state = 9
Iteration 700: c = a, s = ttrrs, state = 9
Iteration 701: c = ], s = etrte, state = 9
Iteration 702: c = [, s = trrrt, state = 9
Iteration 703: c = [, s = rrsrr, state = 9
Iteration 704: c = ), s = ttett, state = 9
Iteration 705: c = x, s = rsers, state = 9
Iteration 706: c = (, s = rtsrt, state = 9
Iteration 707: c = }, s = tstts, state = 9
Iteration 708: c = {, s = tstet, state = 9
Iteration 709: c = ), s = ssste, state = 9
Iteration 710: c = }, s = sette, state = 9
Iteration 711: c = ), s = tsees, state = 9
Iteration 712: c = [, s = eesre, state = 9
Iteration 713: c = (, s = trtss, state = 9
Iteration 714: c = ], s = errrr, state = 9
Iteration 715: c = x, s = essee, state = 9
Iteration 716: c = {, s = trsrs, state = 9
Iteration 717: c = {, s = etstt, state = 9
Iteration 718: c =  , s = rttre, state = 9
Iteration 719: c = a, s = ststt, state = 9
Iteration 720: c = ], s = rrrte, state = 9
Iteration 721: c = x, s = trsee, state = 9
Iteration 722: c = ), s = estte, state = 9
Iteration 723: c = x, s = ssess, state = 9
Iteration 724: c = [, s = trset, state = 9
Iteration 725: c = ], s = trett, state = 9
Iteration 726: c = [, s = esttt, state = 9
Iteration 727: c = a, s = trssr, state = 9
Iteration 728: c = (, s = rsssr, state = 9
Iteration 729: c = a, s = errte, state = 9
Iteration 730: c = (, s = rerer, state = 9
Iteration 731: c = ], s = reerr, state = 9
Iteration 732: c =  , s = rtrte, state = 9
Iteration 733: c =  , s = tster, state = 9
Iteration 734: c = a, s = eeter, state = 9
Iteration 735: c = [, s = ersee, state = 9
Iteration 736: c = (, s = rsres, state = 9
Iteration 737: c = ], s = esrse, state = 9
Iteration 738: c = {, s = srtee, state = 9
Iteration 739: c = [, s = esrrr, state = 9
Iteration 740: c =  , s = eertt, state = 9
Iteration 741: c = [, s = strse, state = 9
Iteration 742: c = ), s = ssrsr, state = 9
Iteration 743: c = ], s = rtstr, state = 9
Iteration 744: c = (, s = tests, state = 9
Iteration 745: c = a, s = rtrrt, state = 9
Iteration 746: c =  , s = sesst, state = 9
Iteration 747: c = {, s = reser, state = 9
Iteration 748: c = {, s = treet, state = 9
Iteration 749: c =  , s = estrs, state = 9
Iteration 750: c = ), s = ssess, state = 9
Iteration 751: c = ], s = eeert, state = 9
Iteration 752: c = }, s = treee, state = 9
Iteration 753: c = ), s = rreee, state = 9
Iteration 754: c = (, s = ttttt, state = 9
Iteration 755: c =  , s = reter, state = 9
Iteration 756: c = (, s = eetse, state = 9
Iteration 757: c = x, s = sesrs, state = 9
Iteration 758: c = (, s = esttr, state = 9
Iteration 759: c =  , s = rtrts, state = 9
Iteration 760: c = (, s = etrrr, state = 9
Iteration 761: c = {, s = ssser, state = 9
Iteration 762: c = (, s = rtrst, state = 9
Iteration 763: c = (, s = sreet, state = 9
Iteration 764: c = ), s = stest, state = 9
Iteration 765: c = }, s = erssr, state = 9
Iteration 766: c = (, s = sterr, state = 9
Iteration 767: c = a, s = rrrrt, state = 9
Iteration 768: c = {, s = teres, state = 9
Iteration 769: c = (, s = settt, state = 9
Iteration 770: c = [, s = teset, state = 9
Iteration 771: c = {, s = reees, state = 9
Iteration 772: c = ), s = tssts, state = 9
Iteration 773: c = ], s = tsstt, state = 9
Iteration 774: c = {, s = sesee, state = 9
Iteration 775: c =  , s = trsee, state = 9
Iteration 776: c = a, s = rstet, state = 9
Iteration 777: c = {, s = tstss, state = 9
Iteration 778: c =  , s = tetsr, state = 9
Iteration 779: c =  , s = tsrer, state = 9
Iteration 780: c =  , s = steee, state = 9
Iteration 781: c = a, s = seres, state = 9
Iteration 782: c = ), s = ssser, state = 9
Iteration 783: c = ], s = ttese, state = 9
Iteration 784: c = ), s = erree, state = 9
Iteration 785: c = x, s = srtte, state = 9
Iteration 786: c = a, s = etese, state = 9
Iteration 787: c = x, s = stsre, state = 9
Iteration 788: c = {, s = eress, state = 9
Iteration 789: c = ), s = rttrr, state = 9
Iteration 790: c = ], s = rsete, state = 9
Iteration 791: c = {, s = rteee, state = 9
Iteration 792: c = (, s = etstt, state = 9
Iteration 793: c =  , s = erttt, state = 9
Iteration 794: c = ), s = steet, state = 9
Iteration 795: c = a, s = strts, state = 9
Iteration 796: c = {, s = esrtr, state = 9
Iteration 797: c = ), s = eerte, state = 9
Iteration 798: c = [, s = ssree, state = 9
Iteration 799: c = a, s = ttsre, state = 9
Iteration 800: c = {, s = etret, state = 9
Iteration 801: c = ), s = trett, state = 9
Iteration 802: c = [, s = eeter, state = 9
Iteration 803: c = a, s = etssr, state = 9
Iteration 804: c = ], s = ettrt, state = 9
Iteration 805: c = x, s = eerss, state = 9
Iteration 806: c = (, s = eetse, state = 9
Iteration 807: c =  , s = rsrtt, state = 9
Iteration 808: c = [, s = tetet, state = 9
Iteration 809: c = (, s = erter, state = 9
Iteration 810: c = (, s = esrer, state = 9
Iteration 811: c = (, s = rerrt, state = 9
Iteration 812: c =  , s = tttts, state = 9
Iteration 813: c = }, s = tettt, state = 9
Iteration 814: c = ), s = trtse, state = 9
Iteration 815: c = [, s = eteer, state = 9
Iteration 816: c =  , s = resre, state = 9
Iteration 817: c = [, s = erert, state = 9
Iteration 818: c = ], s = ssese, state = 9
Iteration 819: c = ), s = rrett, state = 9
Iteration 820: c = [, s = trers, state = 9
Iteration 821: c = {, s = sstrs, state = 9
Iteration 822: c = ), s = strrt, state = 9
Iteration 823: c =  , s = reeet, state = 9
Iteration 824: c = x, s = srttt, state = 9
Iteration 825: c = ], s = esttt, state = 9
Iteration 826: c = [, s = eetre, state = 9
Iteration 827: c =  , s = rrrrr, state = 9
Iteration 828: c = }, s = trrre, state = 9
Iteration 829: c =  , s = ttrts, state = 9
Iteration 830: c =  , s = ersrt, state = 9
Iteration 831: c = (, s = ersrr, state = 9
Iteration 832: c = x, s = erter, state = 9
Iteration 833: c =  , s = rttet, state = 9
Iteration 834: c = [, s = etres, state = 9
Iteration 835: c = ), s = rttsr, state = 9
Iteration 836: c = (, s = teses, state = 9
Iteration 837: c = }, s = etsre, state = 9
Iteration 838: c =  , s = reets, state = 9
Iteration 839: c = x, s = rtter, state = 9
Iteration 840: c = ], s = reett, state = 9
Iteration 841: c = (, s = etstr, state = 9
Iteration 842: c = [, s = eerts, state = 9
Iteration 843: c = a, s = essse, state = 9
Iteration 844: c = ), s = ssrst, state = 9
Iteration 845: c = (, s = ttsrs, state = 9
Iteration 846: c = ), s = etrrs, state = 9
Iteration 847: c = }, s = rtsrs, state = 9
Iteration 848: c = x, s = etsre, state = 9
Iteration 849: c = a, s = etsee, state = 9
Iteration 850: c = }, s = serre, state = 9
Iteration 851: c = }, s = stest, state = 9
Iteration 852: c = {, s = ttssr, state = 9
Iteration 853: c = }, s = setee, state = 9
Iteration 854: c =  , s = esttr, state = 9
Iteration 855: c = a, s = rssrt, state = 9
Iteration 856: c = (, s = sestt, state = 9
Iteration 857: c = ], s = stere, state = 9
Iteration 858: c = ], s = rtstr, state = 9
Iteration 859: c = (, s = tessr, state = 9
Iteration 860: c = (, s = treer, state = 9
Iteration 861: c = ), s = esete, state = 9
Iteration 862: c = x, s = ettst, state = 9
Iteration 863: c = x, s = ttres, state = 9
Iteration 864: c = x, s = eesrr, state = 9
Iteration 865: c =  , s = sttte, state = 9
Iteration 866: c = ], s = tssre, state = 9
Iteration 867: c = ), s = estrr, state = 9
Iteration 868: c = {, s = etsee, state = 9
Iteration 869: c =  , s = essts, state = 9
Iteration 870: c = [, s = seeer, state = 9
Iteration 871: c = }, s = rrrsr, state = 9
Iteration 872: c = ], s = seres, state = 9
Iteration 873: c = x, s = ttrer, state = 9
Iteration 874: c = {, s = serre, state = 9
Iteration 875: c = ], s = stttr, state = 9
Iteration 876: c =  , s = srrst, state = 9
Iteration 877: c = x, s = reses, state = 9
Iteration 878: c = [, s = setst, state = 9
Iteration 879: c =  , s = rerre, state = 9
Iteration 880: c =  , s = strss, state = 9
Iteration 881: c = {, s = srest, state = 9
Iteration 882: c = ], s = sterr, state = 9
Iteration 883: c = {, s = rsrte, state = 9
Iteration 884: c = {, s = serte, state = 9
Iteration 885: c = }, s = rtree, state = 9
Iteration 886: c = {, s = ettse, state = 9
Iteration 887: c = ), s = srstr, state = 9
Iteration 888: c =  , s = seetr, state = 9
Iteration 889: c = [, s = sttts, state = 9
Iteration 890: c = a, s = rstet, state = 9
Iteration 891: c = ), s = rertt, state = 9
Iteration 892: c =  , s = sssre, state = 9
Iteration 893: c = (, s = srttt, state = 9
Iteration 894: c = a, s = eetrr, state = 9
Iteration 895: c = (, s = retrs, state = 9
Iteration 896: c = }, s = esree, state = 9
Iteration 897: c = [, s = tteet, state = 9
Iteration 898: c = (, s = rstte, state = 9
Iteration 899: c = ), s = tttst, state = 9
Iteration 900: c = }, s = tretr, state = 9
Iteration 901: c = (, s = seess, state = 9
Iteration 902: c = }, s = esstt, state = 9
Iteration 903: c = a, s = sttet, state = 9
Iteration 904: c = {, s = tsrse, state = 9
Iteration 905: c = ), s = srttt, state = 9
Iteration 906: c = [, s = sertt, state = 9
Iteration 907: c = }, s = seerr, state = 9
Iteration 908: c = ], s = esret, state = 9
Iteration 909: c = x, s = ssesr, state = 9
Iteration 910: c = (, s = ettes, state = 9
Iteration 911: c = [, s = rerer, state = 9
Iteration 912: c = [, s = rsres, state = 9
Iteration 913: c =  , s = ersee, state = 9
Iteration 914: c = ], s = rttse, state = 9
Iteration 915: c = ], s = rsttt, state = 9
Iteration 916: c = (, s = srsse, state = 9
Iteration 917: c = a, s = eeess, state = 9
Iteration 918: c =  , s = stree, state = 9
Iteration 919: c = x, s = serst, state = 9
Iteration 920: c = {, s = srtet, state = 9
Iteration 921: c = x, s = setet, state = 9
Iteration 922: c = [, s = reeet, state = 9
Iteration 923: c = (, s = eeses, state = 9
Iteration 924: c = ], s = seest, state = 9
Iteration 925: c = x, s = terts, state = 9
Iteration 926: c = (, s = sreee, state = 9
Iteration 927: c = a, s = eesst, state = 9
Iteration 928: c = ), s = ersts, state = 9
Iteration 929: c =  , s = trsrt, state = 9
Iteration 930: c = a, s = rssee, state = 9
Iteration 931: c = (, s = etrsr, state = 9
Iteration 932: c = ), s = tetet, state = 9
Iteration 933: c =  , s = srter, state = 9
Iteration 934: c = [, s = stert, state = 9
Iteration 935: c = x, s = etttr, state = 9
Iteration 936: c = [, s = tertr, state = 9
Iteration 937: c = ), s = etsee, state = 9
Iteration 938: c = x, s = ttssr, state = 9
Iteration 939: c = }, s = tsees, state = 9
Iteration 940: c = x, s = ettrs, state = 9
Iteration 941: c = x, s = eeeee, state = 9
Iteration 942: c = }, s = esett, state = 9
Iteration 943: c = ], s = etete, state = 9
Iteration 944: c =  , s = eerss, state = 9
Iteration 945: c = }, s = stser, state = 9
Iteration 946: c = }, s = eests, state = 9
Iteration 947: c = (, s = rtset, state = 9
Iteration 948: c = }, s = trret, state = 9
Iteration 949: c = a, s = trtts, state = 9
Iteration 950: c = ), s = srree, state = 9
Iteration 951: c = (, s = sters, state = 9
Iteration 952: c = (, s = rstsr, state = 9
Iteration 953: c = [, s = ttsrr, state = 9
Iteration 954: c = {, s = steet, state = 9
Iteration 955: c = (, s = setss, state = 9
Iteration 956: c = ], s = trtre, state = 9
Iteration 957: c =  , s = rertt, state = 9
Iteration 958: c = [, s = estts, state = 9
Iteration 959: c = a, s = rrtee, state = 9
Iteration 960: c = {, s = rtrts, state = 9
Iteration 961: c = ), s = tette, state = 9
Iteration 962: c = ], s = reerr, state = 9
Iteration 963: c = [, s = resrr, state = 9
Iteration 964: c = ), s = rrete, state = 9
Iteration 965: c = {, s = sessr, state = 9
Iteration 966: c = (, s = rrett, state = 9
Iteration 967: c = a, s = ttrrr, state = 9
Iteration 968: c = ], s = rrstr, state = 9
Iteration 969: c = x, s = rrter, state = 9
Iteration 970: c =  , s = rsstr, state = 9
Iteration 971: c = ], s = trter, state = 9
Iteration 972: c =  , s = rterr, state = 9
Iteration 973: c = a, s = ersrt, state = 9
Iteration 974: c = [, s = tttse, state = 9
Iteration 975: c = {, s = teesr, state = 9
Iteration 976: c = ], s = erere, state = 9
Iteration 977: c = (, s = seete, state = 9
Iteration 978: c = (, s = etett, state = 9
Iteration 979: c = a, s = esrrr, state = 9
Iteration 980: c = }, s = trtrs, state = 9
Iteration 981: c = {, s = etttt, state = 9
Iteration 982: c =  , s = reeer, state = 9
Iteration 983: c =  , s = sesrr, state = 9
Iteration 984: c = ), s = estes, state = 9
Iteration 985: c = }, s = tstss, state = 9
Iteration 986: c = [, s = erret, state = 9
Iteration 987: c = ), s = etrte, state = 9
Iteration 988: c = }, s = stsrt, state = 9
Iteration 989: c =  , s = erers, state = 9
Iteration 990: c = x, s = teett, state = 9
Iteration 991: c =  , s = rrree, state = 9
Iteration 992: c = a, s = rtses, state = 9
Iteration 993: c = (, s = srtrr, state = 9
Iteration 994: c = ), s = tetre, state = 9
Iteration 995: c = (, s = rrset, state = 9
Iteration 996: c = x, s = ereee, state = 9
Iteration 997: c = x, s = rests, state = 9
Iteration 998: c = [, s = srree, state = 9
Iteration 999: c = (, s = rrete, state = 9
Iteration 1000: c = ], s = resss, state = 9
Iteration 1001: c = ], s = trsre, state = 9
Iteration 1002: c = (, s = tsree, state = 9
Iteration 1003: c = }, s = ettee, state = 9
Iteration 1004: c = x, s = eeesr, state = 9
Iteration 1005: c = a, s = rrtts, state = 9
Iteration 1006: c = [, s = eeete, state = 9
Iteration 1007: c = a, s = seess, state = 9
Iteration 1008: c =  , s = ereee, state = 9
Iteration 1009: c =  , s = ettse, state = 9
Iteration 1010: c = a, s = rstte, state = 9
Iteration 1011: c =  , s = essse, state = 9
Iteration 1012: c = ), s = etese, state = 9
Iteration 1013: c = {, s = rttsr, state = 9
Iteration 1014: c = (, s = rerrr, state = 9
Iteration 1015: c = x, s = trttr, state = 9
Iteration 1016: c =  , s = restt, state = 9
Iteration 1017: c = (, s = tesrt, state = 9
Iteration 1018: c = x, s = trtts, state = 9
Iteration 1019: c = (, s = rsrrs, state = 9
Iteration 1020: c = [, s = eseee, state = 9
Iteration 1021: c = ), s = eesrr, state = 9
Iteration 1022: c = ), s = ttsst, state = 9
Iteration 1023: c = }, s = stses, state = 9
Iteration 1024: c = {, s = rssrs, state = 9
Iteration 1025: c = {, s = ettsr, state = 9
Iteration 1026: c = a, s = tsees, state = 9
Iteration 1027: c = }, s = seeet, state = 9
Iteration 1028: c = ), s = teres, state = 9
Iteration 1029: c = {, s = esrtt, state = 9
Iteration 1030: c = a, s = rrets, state = 9
Iteration 1031: c = x, s = teres, state = 9
Iteration 1032: c = }, s = trtre, state = 9
Iteration 1033: c =  , s = erree, state = 9
Iteration 1034: c = [, s = tsets, state = 9
Iteration 1035: c = ), s = esrts, state = 9
Iteration 1036: c = {, s = eetes, state = 9
Iteration 1037: c = [, s = tesss, state = 9
Iteration 1038: c = x, s = etrse, state = 9
Iteration 1039: c =  , s = errsr, state = 9
Iteration 1040: c = (, s = tertr, state = 9
Iteration 1041: c = {, s = seres, state = 9
Iteration 1042: c = ), s = terer, state = 9
Iteration 1043: c =  , s = reert, state = 9
Iteration 1044: c = (, s = srtst, state = 9
Iteration 1045: c = }, s = rsrre, state = 9
Iteration 1046: c = ), s = ttste, state = 9
Iteration 1047: c = a, s = ersee, state = 9
Iteration 1048: c = ), s = teres, state = 9
Iteration 1049: c = (, s = trrss, state = 9
Iteration 1050: c = ), s = esess, state = 9
Iteration 1051: c = [, s = teser, state = 9
Iteration 1052: c = {, s = sstet, state = 9
Iteration 1053: c =  , s = ttetr, state = 9
Iteration 1054: c = {, s = tttts, state = 9
Iteration 1055: c = }, s = sttte, state = 9
Iteration 1056: c = [, s = ertts, state = 9
Iteration 1057: c = ), s = srsee, state = 9
Iteration 1058: c = (, s = eertr, state = 9
Iteration 1059: c = {, s = strss, state = 9
Iteration 1060: c = ], s = trett, state = 9
Iteration 1061: c = x, s = eetrr, state = 9
Iteration 1062: c = x, s = rtssr, state = 9
Iteration 1063: c = x, s = rsrre, state = 9
Iteration 1064: c = }, s = etree, state = 9
Iteration 1065: c = ), s = tetrr, state = 9
Iteration 1066: c = }, s = terte, state = 9
Iteration 1067: c = {, s = rstsr, state = 9
Iteration 1068: c = ), s = srsse, state = 9
Iteration 1069: c = x, s = tssrt, state = 9
Iteration 1070: c = a, s = tsess, state = 9
Iteration 1071: c = ], s = essee, state = 9
Iteration 1072: c = {, s = seeer, state = 9
Iteration 1073: c = [, s = esstr, state = 9
Iteration 1074: c = ), s = sreer, state = 9
Iteration 1075: c =  , s = etsse, state = 9
Iteration 1076: c = ), s = ttter, state = 9
Iteration 1077: c = }, s = rsesr, state = 9
Iteration 1078: c = ], s = retse, state = 9
Iteration 1079: c = ), s = strtr, state = 9
Iteration 1080: c = ], s = retst, state = 9
Iteration 1081: c = a, s = tstst, state = 9
Iteration 1082: c = ), s = srsrs, state = 9
Iteration 1083: c = x, s = esrer, state = 9
Iteration 1084: c = ], s = esres, state = 9
Iteration 1085: c = }, s = essrr, state = 9
Iteration 1086: c = ], s = rrrrs, state = 9
Iteration 1087: c = x, s = rerse, state = 9
Iteration 1088: c = x, s = esret, state = 9
Iteration 1089: c =  , s = srtse, state = 9
Iteration 1090: c = ), s = tstss, state = 9
Iteration 1091: c = (, s = rttrt, state = 9
Iteration 1092: c = ], s = rttre, state = 9
Iteration 1093: c = {, s = sssst, state = 9
Iteration 1094: c = ), s = tessr, state = 9
Iteration 1095: c = (, s = ttsse, state = 9
Iteration 1096: c = [, s = eeres, state = 9
Iteration 1097: c = ], s = tssst, state = 9
Iteration 1098: c =  , s = sesrr, state = 9
Iteration 1099: c = x, s = sttee, state = 9
Iteration 1100: c = {, s = ersts, state = 9
Iteration 1101: c = ), s = rterr, state = 9
Iteration 1102: c = [, s = ttsee, state = 9
Iteration 1103: c = x, s = etstr, state = 9
Iteration 1104: c =  , s = rsett, state = 9
Iteration 1105: c = [, s = srser, state = 9
Iteration 1106: c = {, s = errse, state = 9
Iteration 1107: c = x, s = srrrs, state = 9
Iteration 1108: c = (, s = etets, state = 9
Iteration 1109: c =  , s = sstts, state = 9
Iteration 1110: c =  , s = srtre, state = 9
Iteration 1111: c =  , s = esree, state = 9
Iteration 1112: c = x, s = eteet, state = 9
Iteration 1113: c =  , s = trsrt, state = 9
Iteration 1114: c = (, s = eetre, state = 9
Iteration 1115: c = ], s = ttett, state = 9
Iteration 1116: c = (, s = srese, state = 9
Iteration 1117: c = {, s = tteer, state = 9
Iteration 1118: c = ], s = rtrtt, state = 9
Iteration 1119: c = {, s = trese, state = 9
Iteration 1120: c = }, s = treet, state = 9
Iteration 1121: c = }, s = rseer, state = 9
Iteration 1122: c = ], s = rrsee, state = 9
Iteration 1123: c = ], s = sessr, state = 9
Iteration 1124: c = [, s = srsrs, state = 9
Iteration 1125: c = ), s = sstrt, state = 9
Iteration 1126: c = ), s = etesr, state = 9
Iteration 1127: c = x, s = erets, state = 9
Iteration 1128: c = }, s = srrrs, state = 9
Iteration 1129: c = x, s = eerte, state = 9
Iteration 1130: c = (, s = stest, state = 9
Iteration 1131: c = (, s = ertst, state = 9
Iteration 1132: c = [, s = trrer, state = 9
Iteration 1133: c = }, s = tssts, state = 9
Iteration 1134: c = x, s = rtert, state = 9
Iteration 1135: c = {, s = tesrt, state = 9
Iteration 1136: c = (, s = rrsts, state = 9
Iteration 1137: c = x, s = tsett, state = 9
Iteration 1138: c = x, s = estts, state = 9
Iteration 1139: c = [, s = tsees, state = 9
Iteration 1140: c = ], s = tsees, state = 9
Iteration 1141: c = }, s = ttees, state = 9
Iteration 1142: c = (, s = sestr, state = 9
Iteration 1143: c =  , s = eetrr, state = 9
Iteration 1144: c = {, s = srtte, state = 9
Iteration 1145: c = }, s = trrrs, state = 9
Iteration 1146: c = x, s = eeets, state = 9
Iteration 1147: c = x, s = treet, state = 9
Iteration 1148: c = (, s = srtee, state = 9
Iteration 1149: c = [, s = ttrss, state = 9
Iteration 1150: c = [, s = reere, state = 9
Iteration 1151: c =  , s = ttrrs, state = 9
Iteration 1152: c = x, s = resss, state = 9
Iteration 1153: c = [, s = rrste, state = 9
Iteration 1154: c = (, s = trstt, state = 9
Iteration 1155: c = ), s = rtesr, state = 9
Iteration 1156: c = }, s = etsst, state = 9
Iteration 1157: c = x, s = rrets, state = 9
Iteration 1158: c = ), s = estte, state = 9
Iteration 1159: c = [, s = teeer, state = 9
Iteration 1160: c = (, s = settt, state = 9
Iteration 1161: c = [, s = srsrs, state = 9
Iteration 1162: c = a, s = rtses, state = 9
Iteration 1163: c = {, s = rtsts, state = 9
Iteration 1164: c = a, s = reret, state = 9
Iteration 1165: c = [, s = eesrr, state = 9
Iteration 1166: c = }, s = rtest, state = 9
Iteration 1167: c = ], s = rrtse, state = 9
Iteration 1168: c = {, s = ssrre, state = 9
Iteration 1169: c = ], s = rerrs, state = 9
Iteration 1170: c = {, s = etrtr, state = 9
Iteration 1171: c = ), s = rrtss, state = 9
Iteration 1172: c = {, s = sttee, state = 9
Iteration 1173: c = [, s = srssr, state = 9
Iteration 1174: c = {, s = rrere, state = 9
Iteration 1175: c = (, s = tstts, state = 9
Iteration 1176: c =  , s = rsttr, state = 9
Iteration 1177: c = (, s = sseet, state = 9
Iteration 1178: c = }, s = sesrt, state = 9
Iteration 1179: c = ], s = rrtsr, state = 9
Iteration 1180: c = {, s = srtet, state = 9
Iteration 1181: c = ], s = ettrt, state = 9
Iteration 1182: c = [, s = sestt, state = 9
Iteration 1183: c = x, s = setre, state = 9
Iteration 1184: c = {, s = tsttr, state = 9
Iteration 1185: c = x, s = tstst, state = 9
Iteration 1186: c = x, s = trste, state = 9
Iteration 1187: c = x, s = tttet, state = 9
Iteration 1188: c = {, s = tette, state = 9
Iteration 1189: c = a, s = seser, state = 9
Iteration 1190: c = {, s = rtrrs, state = 9
Iteration 1191: c = (, s = terer, state = 9
Iteration 1192: c = (, s = ttese, state = 9
Iteration 1193: c = ], s = rrett, state = 9
Iteration 1194: c = [, s = tetss, state = 9
Iteration 1195: c = }, s = rttet, state = 9
Iteration 1196: c = x, s = esset, state = 9
Iteration 1197: c = a, s = tssrr, state = 9
Iteration 1198: c = ], s = rrret, state = 9
Iteration 1199: c = (, s = ttete, state = 9
Iteration 1200: c = x, s = seses, state = 9
Iteration 1201: c = ), s = sttee, state = 9
Iteration 1202: c = (, s = rresr, state = 9
Iteration 1203: c = (, s = srsse, state = 9
Iteration 1204: c = a, s = erest, state = 9
Iteration 1205: c =  , s = sstrt, state = 9
Iteration 1206: c = ], s = sseet, state = 9
Iteration 1207: c = [, s = rtsse, state = 9
Iteration 1208: c = {, s = rtsse, state = 9
Iteration 1209: c = ), s = rtree, state = 9
Iteration 1210: c = }, s = ttetr, state = 9
Iteration 1211: c = x, s = estst, state = 9
Iteration 1212: c = }, s = erets, state = 9
Iteration 1213: c = {, s = sssrr, state = 9
Iteration 1214: c = ), s = resrs, state = 9
Iteration 1215: c = (, s = tstee, state = 9
Iteration 1216: c = [, s = sseer, state = 9
Iteration 1217: c = x, s = teere, state = 9
Iteration 1218: c = }, s = stert, state = 9
Iteration 1219: c = }, s = rtsst, state = 9
Iteration 1220: c = }, s = sttsr, state = 9
Iteration 1221: c =  , s = esstt, state = 9
Iteration 1222: c =  , s = rsres, state = 9
Iteration 1223: c = {, s = rrree, state = 9
Iteration 1224: c =  , s = setet, state = 9
Iteration 1225: c = {, s = sseer, state = 9
Iteration 1226: c = a, s = eettr, state = 9
Iteration 1227: c = a, s = erree, state = 9
Iteration 1228: c = ), s = setss, state = 9
Iteration 1229: c = x, s = seees, state = 9
Iteration 1230: c = ], s = trsee, state = 9
Iteration 1231: c = {, s = ssrse, state = 9
Iteration 1232: c =  , s = rseer, state = 9
Iteration 1233: c = (, s = tsrse, state = 9
Iteration 1234: c = a, s = stttr, state = 9
Iteration 1235: c = [, s = rtesr, state = 9
Iteration 1236: c = }, s = etree, state = 9
Iteration 1237: c = (, s = eerss, state = 9
Iteration 1238: c = ], s = esser, state = 9
Iteration 1239: c = ], s = ttsts, state = 9
Iteration 1240: c = ], s = rssse, state = 9
Iteration 1241: c = a, s = rseet, state = 9
Iteration 1242: c = a, s = srrst, state = 9
Iteration 1243: c = a, s = srree, state = 9
Iteration 1244: c = }, s = rrrtt, state = 9
Iteration 1245: c = {, s = erets, state = 9
Iteration 1246: c = ], s = ssrtt, state = 9
Iteration 1247: c = a, s = sstsr, state = 9
Iteration 1248: c = ], s = rtser, state = 9
Iteration 1249: c = {, s = srrst, state = 9
Iteration 1250: c = }, s = reter, state = 9
Iteration 1251: c = (, s = tsrts, state = 9
Iteration 1252: c = {, s = sress, state = 9
Iteration 1253: c =  , s = rsett, state = 9
Iteration 1254: c = x, s = seest, state = 9
